area,year,consumption
US,1965,1287.2782047546
US,1966,1360.5747075848
US,1967,1407.65106377
US,1968,1493.2423492239
US,1969,1573.9272363859
US,1970,1627.6715436052
US,1971,1659.9913244214
US,1972,1742.6040665274
US,1973,1811.7730042478
US,1974,1764.8378079808
US,1975,1717.5017401888
US,1976,1809.400240936
US,1977,1854.3215138983
US,1978,1852.9267751592
US,1979,1878.6145931989
US,1980,1812.6400200203
US,1981,1760.4435609462
US,1982,1683.6765820398
US,1983,1672.5091148282
US,1984,1761.9099235736
US,1985,1756.4166257613
US,1986,1762.5044732163
US,1987,1823.3362034023
US,1988,1907.5388279976
US,1989,1961.8344716262
US,1990,1968.3937534782
US,1991,1966.1154563246
US,1992,1997.677730272
US,1993,2039.6805124218
US,1994,2077.2846422519
US,1995,2121.8998572491
US,1996,2192.4927082697
US,1997,2209.9375674957
US,1998,2224.0516371564
US,1999,2261.6999451055
US,2000,2313.7091407705
US,2001,2259.6933315058
US,2002,2295.4666773488
US,2003,2302.3247835488
US,2004,2348.7874447809
US,2005,2351.1787242037
US,2006,2332.6992055931
US,2007,2372.7044825664
US,2008,2319.8277118554
US,2009,2205.7595308377
US,2010,2281.2036082884
US,2011,2265.214823754
US,2012,2208.8271977981
Canada,1965,116.287
Canada,1966,123.447
Canada,1967,129.524
Canada,1968,138.16
Canada,1969,146.064
Canada,1970,156.413
Canada,1971,160.979
Canada,1972,172.151
Canada,1973,182.77
Canada,1974,189.064
Canada,1975,187.001
Canada,1976,197.3909764674
Canada,1977,207.0728880391
Canada,1978,210.5881433679
Canada,1979,212.9273399557
Canada,1980,218.0138255822
Canada,1981,211.9906757579
Canada,1982,215.1087420112
Canada,1983,213.2611917354
Canada,1984,227.3421254419
Canada,1985,234.4427932269
Canada,1986,234.7092509348
Canada,1987,242.6748310017
Canada,1988,253.0520699634
Canada,1989,256.228303272
Canada,1990,251.4735079916
Canada,1991,251.8109226
Canada,1992,258.3701490329
Canada,1993,264.3097408513
Canada,1994,274.1036254226
Canada,1995,280.321594761
Canada,1996,290.564140441
Canada,1997,292.1572344611
Canada,1998,286.1977843642
Canada,1999,293.9290343257
Canada,2000,302.9523337323
Canada,2001,296.5283493913
Canada,2002,305.0647940748
Canada,2003,312.1484963797
Canada,2004,315.4809616811
Canada,2005,324.1145688717
Canada,2006,321.3983674066
Canada,2007,327.4811120269
Canada,2008,326.0735412949
Canada,2009,311.7401791001
Canada,2010,315.6121960827
Canada,2011,328.6120342211
Canada,2012,328.8409450673
Mexico,1965,24.4478626158
Mexico,1966,25.7205968281
Mexico,1967,26.0035345371
Mexico,1968,28.3991721601
Mexico,1969,31.2627647846
Mexico,1970,33.2833077291
Mexico,1971,34.8698203879
Mexico,1972,38.3785922423
Mexico,1973,41.2872722642
Mexico,1974,45.9664356499
Mexico,1975,49.6194121625
Mexico,1976,52.9247952412
Mexico,1977,55.7929949616
Mexico,1978,63.4587168725
Mexico,1979,70.4004398401
Mexico,1980,76.47834214
Mexico,1981,84.3026665103
Mexico,1982,88.0941568116
Mexico,1983,86.8759437458
Mexico,1984,91.566405574
Mexico,1985,95.4011519906
Mexico,1986,92.5149527198
Mexico,1987,95.5819184278
Mexico,1988,96.5124084566
Mexico,1989,100.8272069193
Mexico,1990,106.3739681041
Mexico,1991,110.8121365007
Mexico,1992,112.6080094523
Mexico,1993,113.5788041611
Mexico,1994,121.0844946009
Mexico,1995,117.3298871977
Mexico,1996,122.5049004788
Mexico,1997,127.1532587166
Mexico,1998,134.1476305096
Mexico,1999,135.7516651202
Mexico,2000,141.2921339491
Mexico,2001,141.5288502675
Mexico,2002,140.5371345506
Mexico,2003,147.5884544677
Mexico,2004,153.3986880294
Mexico,2005,164.4916809458
Mexico,2006,168.7822621856
Mexico,2007,167.7593754335
Mexico,2008,170.8075747545
Mexico,2009,171.6662330306
Mexico,2010,173.9371333455
Mexico,2011,180.4998870876
Mexico,2012,187.7471260294
Total North America,1965,1428.0130673705
Total North America,1966,1509.7423044129
Total North America,1967,1563.1785983071
Total North America,1968,1659.8015213841
Total North America,1969,1751.2540011705
Total North America,1970,1817.3678513343
Total North America,1971,1855.8401448093
Total North America,1972,1953.1336587697
Total North America,1973,2035.830276512
Total North America,1974,1999.8682436307
Total North America,1975,1954.1221523513
Total North America,1976,2059.7160126446
Total North America,1977,2117.187396899
Total North America,1978,2126.9736353996
Total North America,1979,2161.9423729947
Total North America,1980,2107.1321877424
Total North America,1981,2056.7369032144
Total North America,1982,1986.8794808627
Total North America,1983,1972.6462503094
Total North America,1984,2080.8184545895
Total North America,1985,2086.2605709789
Total North America,1986,2089.7286768709
Total North America,1987,2161.5929528318
Total North America,1988,2257.1033064176
Total North America,1989,2318.8899818175
Total North America,1990,2326.2412295739
Total North America,1991,2328.7385154253
Total North America,1992,2368.6558887572
Total North America,1993,2417.5690574342
Total North America,1994,2472.4727622754
Total North America,1995,2519.5513392077
Total North America,1996,2605.5617491895
Total North America,1997,2629.2480606735
Total North America,1998,2644.3970520303
Total North America,1999,2691.3806445514
Total North America,2000,2757.9536084519
Total North America,2001,2697.7505311647
Total North America,2002,2741.0686059742
Total North America,2003,2762.0617343962
Total North America,2004,2817.6670944914
Total North America,2005,2839.7849740212
Total North America,2006,2822.8798351853
Total North America,2007,2867.9449700268
Total North America,2008,2816.7088279047
Total North America,2009,2689.1659429684
Total North America,2010,2770.7529377166
Total North America,2011,2774.3267450627
Total North America,2012,2725.4152688948
Argentina,1965,27.067
Argentina,1966,28.095
Argentina,1967,28.834
Argentina,1968,29.871
Argentina,1969,30.722
Argentina,1970,28.808
